name,latitude,longitude,country
Dosante Cidad,43.012134,-3.757203,ES
Duesaigues-L'Argentera,41.143708,0.920765,ES
Duenas,41.871133,-4.540478,ES
El Barcenal,43.340456,-4.383409,ES
El Berron,43.382211,-5.702397,ES
El Burgo de Ebro,41.5664,-0.739592,ES
El Burgo Ranero,42.425831,-5.208314,ES
El Caleyo,43.328887,-5.873291,ES
El Carpio (Valladolid),41.215244,-5.115086,ES
El Carrion,42.116302,-4.496238,ES
El Carrion Apeadero,42.116302,-4.496238,ES
El Chorro,36.906993,-4.759248,ES
El Cobujon,37.516282,-6.953066,ES
El Escorial,40.585109,-4.132242,ES
El Espinar,40.740821,-4.189512,ES
El Pedroso de la Armuna,41.079966,-5.406454,ES
El Pimpollar,40.567769,-4.283153,ES
El Pozo,40.376155,-3.656506,ES
El Puig,39.588233,-0.311871,ES
El Rebollar,39.483598,-1.018019,ES
El Remedio,43.37501,-5.546299,ES
El Romeral,39.693874,-3.42987,ES
El Tamujoso,37.719969,-6.900245,ES
El Tejar,40.511,-3.85631,ES
Elx Carrus,38.255573,-0.724359,ES
Els Guiamets,41.095679,0.747848,ES
Elvina-Universidade,43.335251,-8.41295,ES
Embid de Jalon,41.421583,-1.592448,ES
Encinacorba,41.288884,-1.278724,ES
Epila,41.609035,-1.30126,ES
Erustes,39.966723,-4.523389,ES
Escacena,37.397256,-6.39151,ES
Escatron,41.2126,-0.289933,ES
Espeluy,38.010257,-3.832811,ES
Espinosa de Henares,40.909926,-3.073402,ES
Espinosa de los Monteros,43.073018,-3.54228,ES
Espinosa de Villagonzalo,42.453616,-4.368254,ES
Estepona-Bus,36.430388,-5.127582,ES
Estibaliz-Oreitia,42.853971,-2.560177,ES
Etxarri-Aranatz,42.911347,-2.071393,ES
Fabara,41.234616,0.143647,ES
Fabrica del Pedroso,37.862592,-5.739467,ES
Faio-La Pobla de Massaluca,41.225519,0.348107,ES
Feculas-Navarra,42.411214,-2.098082,ES
Ferreruela,41.063632,-1.238425,ES
Ferreruela de Tabara,41.764036,-6.074092,ES
Ferrones,43.476031,-5.861416,ES
Belmonte de Pria Feve,43.439813,-4.982272,ES
Las Rozas de Valdearroyo Feve,42.973546,-4.029779,ES
Leon Feve,42.602323,-5.575052,ES
Maliano la Vidriera Feve,43.416025,-3.841005,ES
Nueva Montana Feve,43.440017,-3.849513,ES
Torrelavega Centro Feve,43.350803,-4.050988,ES
Valdecilla la Marga Feve,43.452697,-3.828476,ES
Zorrotza Zorrozgoiti Feve,43.273799,-2.974058,ES
Figueres Estacion de Autobuses,42.264968,2.967443,ES
Filgueira,42.219663,-8.185406,ES
Fisterra-Bus,42.907739,-9.263368,ES
Finana,37.184796,-2.839827,ES
Flix,41.229438,0.540215,ES
Fonciello,43.381348,-5.718928,ES
Formigal-Bus,42.773838,-0.360481,ES
Fornells de la Selva,41.929725,2.807286,ES
Franza,43.4385,-8.19748,ES
Fregenal de la Sierra,38.16773,-6.637661,ES
Fresno el Viejo,41.191827,-5.137766,ES
Frieira,42.154842,-8.201326,ES
Fromista,42.264753,-4.402458,ES
Fuenlabrada,40.283548,-3.798958,ES
Fuente de Piedra,37.1353,-4.73797,ES
Fuente del Arco,38.163757,-5.900798,ES
